sku;fechaIni;fechaFin
48;20210901;20210922
17;20140828;20141028
45;20130112;20130311
31;20201008;20201108
48;20111125;20120111
45;20190819;20190905
17;20141029;20141121
36;20200626;20200723
47;20180611;20180711
36;20210901;20210922
31;20190906;20191006
36;20210614;20210714
6;20150901;20151008
40;20120927;20121121
45;20201210;20210113
29;20200910;20201007
47;20171106;20171206
9;20180305;20180405
23;20190819;20190905
48;20181213;20190110
39;20191108;20191208
37;20210901;20210922
43;20131122;20140115
15;20180108;20180303
39;20180906;20181007
10;20140714;20140813
5;20191007;20191107
34;20190516;20190613
6;20190715;20190815
5;20200724;20200824
38;20201008;20201108
12;20210311;20210407
15;20180108;20180306
24;20110424;20110616
1;20160112;20160306
43;20150113;20150312
38;20150901;20151008
30;20200116;20200226
46;20141029;20141121
24;20170905;20171004
47;20170613;20170713
17;20180406;20180506
45;20170316;20170416
28;20150901;20151008
40;20190111;20190307
31;20171106;20171206
47;20180406;20180506
17;20170905;20171004
28;20180611;20180711
31;20170613;20170713
1;20180906;20181007
38;20120314;20120409
37;20200511;20200611
19;20200825;20200909
38;20150612;20150716
30;20191114;20191211
49;20170420;20170520
43;20190906;20191006
46;20181112;20181212
1;20210715;20210815
4;20150612;20150716
4;20110828;20110923
8;20170110;20170306
22;20200724;20200824
35;20160901;20160930
4;20141029;20141121
21;20190111;20190307
22;20210506;20210606
29;20180108;20180306
31;20170521;20170612
29;20130614;20130816
31;20210816;20210831
23;20190715;20190815
41;20191007;20191107
28;20160112;20160306
45;20171106;20171206
49;20110112;20110223
46;20130819;20130919
37;20180108;20180306
43;20130614;20130816
10;20140116;20140321
6;20160401;20160430
34;20181112;20181212
34;20210901;20210922
34;20161007;20161117
8;20210614;20210714
33;20170613;20170713
42;20180108;20180303
14;20180108;20180303
4;20190516;20190613
32;20200511;20200611
18;20150901;20151008
42;20201112;20201209
33;20210408;20210505
33;20200511;20200611
47;20150901;20151008
17;20181112;20181212
41;20160901;20160930
9;20170905;20171004
47;20181112;20181212
48;20130112;20130311
40;20140714;20140813
45;20141029;20141121
29;20191007;20191107
5;20110828;20110923
6;20170613;20170713
34;20160307;20160331
34;20120927;20121121
15;20121122;20130111
15;20191210;20200110
49;20201210;20210113
30;20180430;20180531
22;20160901;20160930
50;20160901;20160930
40;20210311;20210407
31;20110224;20110409
40;20170714;20170814
17;20201008;20201108
47;20110424;20110616
28;20201112;20201209
48;20130614;20130816
29;20190906;20191006
31;20130614;20130816
48;20160817;20160831
27;20190329;20190425
34;20210408;20210505
34;20190614;20190714
34;20180406;20180506
27;20201112;20201209
39;20180406;20180506
37;20110112;20110223
39;20190426;20190515
39;20210114;20210307
39;20161007;20161117
38;20180305;20180405
24;20180108;20180306
1;20110112;20110223
1;20180406;20180506
50;20170316;20170416
33;20160901;20160930
4;20151009;20151117
50;20200825;20200909
2;20180108;20180303
47;20190715;20190815
29;20150313;20150409
29;20130920;20131121
48;20200825;20200909
47;20210715;20210815
17;20151009;20151117
31;20200612;20200625
47;20151009;20151117
3;20180108;20180303
5;20180406;20180506
27;20200626;20200723
5;20200825;20200909
34;20191108;20191208
3;20160817;20160831
19;20150113;20150312
49;20210816;20210831
18;20210114;20210307
16;20120927;20121121
8;20170521;20170612
14;20191108;20191208
14;20171005;20171105
26;20180406;20180506
50;20161117;20170109
33;20190614;20190714
20;20170613;20170713
16;20190906;20191006
33;20140322;20140422
14;20180108;20180306
45;20180507;20180611
31;20190308;20190328
29;20150113;20150312
48;20211021;20211117
10;20170714;20170814
5;20180611;20180711
5;20170613;20170713
34;20140828;20141028
3;20111125;20120111
26;20200825;20200909
18;20161007;20161117
2;20130312;20130405
18;20180611;20180711
33;20200612;20200625
11;20170110;20170306
15;20140828;20141028
1;20210311;20210407
24;20160817;20160831
49;20170613;20170713
15;20130819;20130919
24;20190819;20190905
1;20151009;20151117
24;20210715;20210815
38;20190329;20190425
28;20170714;20170814
40;20180406;20180506
36;20171207;20180107
45;20130920;20131121
31;20140322;20140422
28;20190426;20190515
45;20121122;20130111
41;20190516;20190613
31;20151009;20151117
25;20210311;20210407
5;20180108;20180306
34;20160610;20160710
27;20200511;20200611
27;20171005;20171105
5;20150901;20151008
5;20210506;20210606
34;20201112;20201209
46;20191007;20191107
19;20190308;20190328
43;20110617;20110817
1;20181112;20181212
49;20170110;20170306
38;20190516;20190613
49;20151009;20151117
22;20170316;20170416
4;20140322;20140422
2;20200825;20200909
32;20200626;20200723
4;20110112;20110223
11;20210114;20210307
23;20181008;20181108
29;20170110;20170306
40;20180611;20180711
28;20171005;20171105
29;20210923;20211020
36;20170714;20170814
31;20191210;20200110
40;20150410;20150611
47;20140322;20140422
41;20200612;20200625
47;20201008;20201108
31;20210506;20210606
28;20180406;20180506
27;20170714;20170814
6;20191007;20191107
3;20150313;20150409
34;20210114;20210307
25;20180601;20180701
46;20160401;20160430
19;20150901;20151008
43;20170521;20170612
38;20211021;20211117
37;20160112;20160306
38;20140116;20140321
16;20140613;20140713
18;20201112;20201209
26;20210816;20210831
29;20140322;20140422
31;20170316;20170416
47;20191007;20191107
45;20190329;20190425
6;20200825;20200909
6;20200724;20200824
1;20180108;20180303
1;20120410;20120612
37;20151009;20151117
1;20150612;20150716
24;20150901;20151008
39;20150901;20151008
12;20200525;20200625
37;20120112;20120313
38;20150313;20150409
43;20150717;20150817
50;20170905;20171004
11;20180906;20181007
32;20210715;20210815
33;20190426;20190515
50;20190819;20190905
45;20130312;20130405
31;20190819;20190905
31;20190516;20190613
47;20120112;20120313
17;20150901;20151008
40;20150901;20151008
3;20180406;20180506
15;20150313;20150409
37;20140714;20140813
49;20160610;20160710
49;20200612;20200625
38;20130112;20130311
24;20191210;20200110
8;20160112;20160306
33;20140613;20140713
4;20130312;20130405
4;20180406;20180506
20;20201008;20201108
2;20120112;20120313
2;20201210;20210113
14;20210901;20210922
42;20160112;20160306
16;20180712;20180812
4;20111125;20120111
48;20171207;20180107
31;20120927;20121121
36;20200324;20200414
29;20140714;20140813
36;20150901;20151008
29;20171005;20171105
29;20170714;20170814
48;20140714;20140813
36;20190329;20190425
29;20190426;20190515
36;20190426;20190515
17;20110828;20110923
10;20201008;20201108
3;20210923;20211020
24;20181112;20181212
46;20160817;20160831
39;20170714;20170814
37;20170110;20170306
46;20180611;20180711
30;20180903;20181003
15;20120112;20120313
38;20160714;20160815
21;20191007;20191107
21;20170905;20171004
21;20200724;20200824
50;20190715;20190815
11;20201112;20201209
11;20190614;20190714
14;20190329;20190425
20;20210816;20210831
47;20160401;20160430
48;20210715;20210815
31;20190426;20190515
23;20160401;20160430
40;20130819;20130919
36;20180406;20180506
40;20171005;20171105
3;20181112;20181212
5;20130819;20130919
34;20150313;20150409
25;20190131;20190227
34;20141122;20150112
27;20180406;20180506
10;20160714;20160815
6;20180108;20180306
49;20120112;20120313
12;20200116;20200226
39;20200511;20200611
24;20201210;20210113
8;20180406;20180506
32;20191210;20200110
21;20210311;20210407
8;20200511;20200611
33;20130112;20130311
9;20210715;20210815
9;20190516;20190613
17;20121122;20130111
31;20120613;20120816
29;20190516;20190613
31;20160112;20160306
23;20191007;20191107
34;20190111;20190307
25;20190328;20190424
19;20141029;20141121
24;20140322;20140422
37;20190426;20190515
37;20190516;20190613
19;20150410;20150611
43;20110224;20110409
43;20120927;20121121
16;20140714;20140813
50;20180712;20180812
14;20211021;20211117
33;20151009;20151117
22;20191007;20191107
18;20180108;20180303
9;20200612;20200625
29;20211021;20211117
48;20150901;20151008
48;20150113;20150312
48;20150612;20150716
31;20140613;20140713
43;20200626;20200723
49;20181112;20181212
30;20190103;20190131
1;20210506;20210606
19;20200324;20200414
24;20151009;20151117
37;20170714;20170814
11;20190426;20190515
18;20200626;20200723
32;20201210;20210113
8;20170817;20170904
4;20210816;20210831
2;20160610;20160710
33;20190516;20190613
18;20140116;20140321
3;20200825;20200909
3;20191210;20200110
3;20130819;20130919
10;20181213;20190110
47;20191210;20200110
45;20170714;20170814
48;20160714;20160815
45;20190516;20190613
29;20171207;20180107
29;20160901;20160930
45;20160714;20160815
47;20180108;20180303
17;20130312;20130405
39;20170521;20170612
46;20120112;20120313
19;20120112;20120313
30;20180402;20180429
43;20180507;20180611
1;20210923;20211020
16;20140116;20140321
4;20130819;20130919
22;20181008;20181108
14;20140828;20141028
14;20160112;20160306
42;20211021;20211117
26;20150612;20150716
33;20190819;20190905
2;20111125;20120111
11;20170714;20170814
42;20200626;20200723
27;20180108;20180306
25;20181130;20181231
27;20170521;20170612
34;20160401;20160430
10;20180406;20180506
10;20200113;20200305
6;20170420;20170520
31;20200724;20200824
40;20160610;20160710
17;20150612;20150716
45;20210311;20210407
28;20191108;20191208
45;20160901;20160930
48;20181008;20181108
31;20171005;20171105
29;20180507;20180611
48;20130312;20130405
39;20180108;20180306
24;20160112;20160306
43;20140714;20140813
43;20150410;20150611
15;20201210;20210113
1;20190715;20190815
15;20160401;20160430
26;20120826;20120926
20;20190819;20190905
42;20200910;20201007
2;20191007;20191107
33;20210114;20210307
26;20210923;20211020
6;20170905;20171004
10;20150901;20151008
3;20160714;20160815
6;20180906;20181007
34;20190308;20190328
6;20201210;20210113
23;20210311;20210407
17;20200612;20200625
40;20190308;20190328
17;20110112;20110223
29;20180611;20180711
40;20210715;20210815
28;20150113;20150312
40;20110828;20110923
47;20181213;20190110
29;20170613;20170713
40;20200511;20200611
23;20210408;20210505
31;20180507;20180611
29;20110104;20110111
19;20211021;20211117
37;20130819;20130919
46;20130312;20130405
19;20190426;20190515
46;20190715;20190815
33;20181112;20181212
18;20190426;20190515
4;20190715;20190815
4;20180108;20180306
26;20140828;20141028
14;20200910;20201007
16;20170521;20170612
14;20200113;20200305
2;20140828;20141028
33;20191210;20200110
10;20190516;20190613
34;20200626;20200723
34;20190329;20190425
6;20140322;20140422
9;20181008;20181108
31;20201112;20201209
17;20181213;20190110
45;20140714;20140813
36;20171005;20171105
29;20180712;20180812
40;20160714;20160815
43;20140818;20140827
15;20170613;20170713
15;20151009;20151117
24;20210816;20210831
37;20140116;20140321
33;20211021;20211117
4;20210311;20210407
14;20200626;20200723
8;20210901;20210922
34;20140714;20140813
3;20141029;20141121
3;20120826;20120926
34;20171207;20180107
10;20180906;20181007
3;20201210;20210113
3;20200612;20200625
6;20141029;20141121
34;20170613;20170713
25;20201112;20201209
27;20161007;20161117
5;20141029;20141121
29;20190614;20190714
45;20210816;20210831
45;20190715;20190815
23;20201008;20201108
31;20160401;20160430
45;20160307;20160331
9;20161117;20170109
45;20140613;20140713
9;20180712;20180812
41;20190308;20190328
29;20190715;20190815
46;20181213;20190110
37;20161007;20161117
15;20200825;20200909
7;20121122;20130111
26;20210506;20210606
2;20160714;20160815
20;20180305;20180405
22;20210311;20210407
4;20191007;20191107
20;20170905;20171004
42;20160307;20160331
27;20170420;20170520
27;20140116;20140321
31;20210923;20211020
23;20200612;20200625
47;20141029;20141121
23;20160901;20160930
37;20190308;20190328
49;20180108;20180303
30;20190627;20190724
15;20120826;20120926
15;20170420;20170520
1;20170110;20170306
49;20150612;20150716
21;20161117;20170109
33;20181008;20181108
42;20170420;20170520
35;20190111;20190307
11;20150113;20150312
26;20200724;20200824
18;20190614;20190714
8;20190906;20191006
3;20160610;20160710
6;20120826;20120926
5;20210715;20210815
10;20140423;20140612
36;20180611;20180711
31;20150313;20150409
31;20200511;20200611
23;20180507;20180611
47;20110828;20110923
31;20160714;20160815
24;20171106;20171206
19;20161007;20161117
39;20180108;20180303
43;20170714;20170814
46;20150901;20151008
20;20200724;20200824
20;20210715;20210815
16;20170714;20170814
11;20161007;20161117
5;20150612;20150716
34;20151009;20151117
5;20160714;20160815
10;20161007;20161117
5;20140322;20140422
34;20160112;20160306
5;20210816;20210831
25;20200525;20200625
45;20200724;20200824
47;20200825;20200909
17;20110424;20110616
31;20111125;20120111
23;20190308;20190328
47;20121122;20130111
31;20200626;20200723
45;20190308;20190328
48;20120613;20120816
37;20200626;20200723
19;20170110;20170306
19;20110828;20110923
38;20150818;20150831
49;20160714;20160815
24;20110828;20110923
38;20171106;20171206
46;20190819;20190905
20;20191007;20191107
50;20210506;20210606
4;20170110;20170306
26;20170613;20170713
14;20190906;20191006
34;20170521;20170612
5;20160817;20160831
27;20190426;20190515
45;20180108;20180306
17;20170613;20170713
48;20210506;20210606
29;20160112;20160306
31;20170420;20170520
31;20210114;20210307
36;20200910;20201007
46;20110112;20110223
46;20171106;20171206
1;20111125;20120111
12;20191114;20191211
19;20151009;20151117
19;20160401;20160430
49;20150901;20151008
42;20200511;20200611
33;20190329;20190425
2;20150313;20150409
18;20170714;20170814
21;20210408;20210505
22;20190516;20190613
21;20180507;20180611
42;20210114;20210307
27;20140828;20141028
10;20200825;20200909
6;20200612;20200625
10;20110828;20110923
27;20191108;20191208
27;20211021;20211117
10;20190111;20190307
34;20141029;20141121
47;20130819;20130919
41;20190715;20190815
48;20200511;20200611
31;20210614;20210714
17;20190516;20190613
47;20150313;20150409
45;20170817;20170904
39;20170420;20170520
38;20111125;20120111
39;20140116;20140321
19;20171005;20171105
15;20150612;20150716
24;20130819;20130919
39;20200113;20200305
46;20160112;20160306
4;20191210;20200110
26;20180108;20180306
2;20160817;20160831
42;20210614;20210714
50;20180507;20180611
4;20180108;20180303
22;20210408;20210505
21;20190819;20190905
26;20180108;20180303
35;20201008;20201108
4;20121122;20130111
50;20210816;20210831
33;20130614;20130816
6;20150612;20150716
3;20180906;20181007
10;20171005;20171105
3;20151009;20151117
28;20180108;20180306
17;20120410;20120612
47;20170905;20171004
36;20170521;20170612
31;20181112;20181212
29;20190329;20190425
40;20170110;20170306
31;20160610;20160710
17;20171106;20171206
38;20200324;20200414
46;20210715;20210815
14;20170420;20170520
21;20170613;20170713
20;20200825;20200909
16;20150410;20150611
4;20200724;20200824
26;20160112;20160306
35;20191007;20191107
34;20151118;20160110
25;20190530;20190626
34;20150113;20150312
34;20130920;20131121
5;20160401;20160430
29;20200626;20200723
40;20161007;20161117
47;20210506;20210606
17;20180108;20180303
9;20170613;20170713
29;20200724;20200824
17;20160112;20160306
38;20181213;20190110
46;20190516;20190613
24;20120410;20120612
33;20190111;20190307
2;20170110;20170306
35;20190819;20190905
16;20200626;20200723
11;20171207;20180107
26;20160817;20160831
26;20150901;20151008
3;20110828;20110923
10;20140613;20140713
3;20110112;20110223
34;20190715;20190815
17;20130819;20130919
41;20210311;20210407
29;20160509;20160609
17;20210816;20210831
31;20150113;20150312
48;20180507;20180611
46;20170420;20170520
39;20200324;20200414
1;20150313;20150409
15;20160714;20160815
38;20141029;20141121
15;20170905;20171004
38;20200825;20200909
38;20201210;20210113
1;20150901;20151008
14;20161007;20161117
4;20150901;20151008
33;20210816;20210831
11;20160307;20160331
22;20180507;20180611
16;20180507;20180611
32;20210901;20210922
18;20210901;20210922
33;20210311;20210407
11;20170420;20170520
35;20180712;20180812
33;20141122;20150112
5;20171106;20171206
5;20170905;20171004
10;20150113;20150312
10;20200511;20200611
34;20110224;20110409
6;20210923;20211020
34;20180507;20180611
3;20210816;20210831
28;20200910;20201007
36;20200511;20200611
47;20170110;20170306
45;20200910;20201007
28;20210614;20210714
46;20180406;20180506
37;20150113;20150312
37;20201210;20210113
49;20110828;20110923
24;20160401;20160430
49;20160112;20160306
15;20120410;20120612
49;20191007;20191107
20;20181008;20181108
35;20210408;20210505
22;20180305;20180405
22;20161117;20170109
8;20190614;20190714
42;20190906;20191006
14;20160307;20160331
8;20180906;20181007
6;20130819;20130919
6;20160714;20160815
10;20160401;20160430
47;20210311;20210407
9;20191007;20191107
45;20210408;20210505
17;20210506;20210606
28;20211021;20211117
48;20170316;20170416
24;20190715;20190815
19;20191108;20191208
1;20200825;20200909
43;20120613;20120816
39;20210901;20210922
33;20160509;20160609
16;20180305;20180405
26;20181112;20181212
33;20180712;20180812
2;20181112;20181212
42;20170817;20170904
16;20171005;20171105
8;20180611;20180711
20;20190715;20190815
4;20210715;20210815
4;20201008;20201108
20;20190516;20190613
18;20150113;20150312
3;20190715;20190815
10;20210311;20210407
34;20110924;20111124
29;20111125;20120111
23;20200724;20200824
45;20210114;20210307
47;20190819;20190905
31;20140828;20141028
40;20151009;20151117
31;20110924;20111124
45;20160610;20160710
48;20190516;20190613
41;20210715;20210815
23;20170613;20170713
1;20190819;20190905
49;20210311;20210407
46;20191210;20200110
24;20180108;20180303
19;20160714;20160815
43;20200511;20200611
19;20140613;20140713
30;20210603;20210630
39;20200910;20201007
46;20170613;20170713
12;20190627;20190724
43;20130406;20130613
15;20210816;20210831
33;20111125;20120111
32;20210311;20210407
22;20190819;20190905
2;20190516;20190613
16;20141122;20150112
8;20200113;20200305
11;20210901;20210922
21;20210506;20210606
33;20140714;20140813
5;20190715;20190815
10;20201210;20210113
10;20210715;20210815
34;20181008;20181108
29;20200612;20200625
40;20140423;20140612
29;20141029;20141121
17;20170420;20170520
47;20160610;20160710
12;20200716;20200812
37;20180906;20181007
24;20210923;20211020
16;20110104;20110111
16;20150113;20150312
35;20190715;20190815
35;20210816;20210831
21;20190308;20190328
8;20191108;20191208
20;20160901;20160930
42;20180108;20180306
10;20160610;20160710
5;20130312;20130405
31;20201210;20210113
45;20210614;20210714
31;20210715;20210815
41;20160401;20160430
40;20160401;20160430
31;20210311;20210407
47;20200612;20200625
47;20160112;20160306
28;20171207;20180107
17;20190715;20190815
31;20180108;20180306
1;20140322;20140422
38;20180712;20180812
38;20181112;20181212
49;20180906;20181007
39;20190329;20190425
19;20190715;20190815
1;20170905;20171004
19;20180406;20180506
4;20180906;20181007
8;20200910;20201007
11;20190906;20191006
33;20160714;20160815
33;20170110;20170306
26;20141029;20141121
33;20121122;20130111
10;20180108;20180303
3;20140828;20141028
5;20170110;20170306
34;20180108;20180306
34;20191007;20191107
31;20130920;20131121
40;20210901;20210922
47;20120410;20120612
40;20181112;20181212
43;20210614;20210714
19;20181112;20181212
46;20170110;20170306
1;20160817;20160831
19;20170714;20170814
39;20170817;20170904
26;20121122;20130111
21;20201008;20201108
32;20210506;20210606
16;20131122;20140115
35;20200724;20200824
21;20160901;20160930
21;20181008;20181108
5;20210923;20211020
6;20191210;20200110
27;20150901;20151008
3;20200724;20200824
6;20201008;20201108
10;20170110;20170306
27;20200324;20200414
5;20180906;20181007
3;20180108;20180306
23;20190516;20190613
45;20190906;20191006
29;20201112;20201209
9;20210311;20210407
31;20130312;20130405
28;20180906;20181007
29;20190819;20190905
17;20160817;20160831
40;20160112;20160306
48;20140116;20140321
46;20111125;20120111
24;20170110;20170306
15;20180611;20180711
30;20181030;20181129
42;20180406;20180506
35;20210715;20210815
33;20140828;20141028
42;20171207;20180107
22;20170613;20170713
20;20210506;20210606
21;20210816;20210831
5;20151009;20151117
6;20110828;20110923
3;20150612;20150716
27;20190614;20190714
3;20150901;20151008
23;20170905;20171004
17;20180108;20180306
45;20191210;20200110
31;20121122;20130111
41;20180712;20180812
41;20170905;20171004
47;20180108;20180306
47;20170420;20170520
41;20190819;20190905
29;20210506;20210606
23;20210506;20210606
29;20141122;20150112
29;20171106;20171206
37;20191108;20191208
46;20121122;20130111
15;20160817;20160831
49;20191210;20200110
46;20200612;20200625
14;20170110;20170306
33;20171207;20180107
16;20190308;20190328
4;20170905;20171004
42;20170714;20170814
2;20170613;20170713
14;20180406;20180506
42;20200113;20200305
50;20190308;20190328
16;20200324;20200414
34;20200612;20200625
3;20160112;20160306
10;20200626;20200723
13;20121122;20130111
25;20180903;20181003
40;20200113;20200305
45;20210923;20211020
23;20210715;20210815
29;20110924;20111124
28;20200511;20200611
31;20170817;20170904
43;20180712;20180812
38;20161007;20161117
49;20160817;20160831
15;20181112;20181212
46;20210816;20210831
38;20181008;20181108
38;20210715;20210815
38;20160307;20160331
46;20120410;20120612
4;20181213;20190110
11;20190329;20190425
20;20210923;20211020
14;20171207;20180107
6;20160817;20160831
6;20210311;20210407
10;20180108;20180306
31;20160817;20160831
